id;policy_new_or_existing;policy_no_existing;insurance_company_existing;date_of_expire_existing;idv;ncb;value_of_vichle;purchase_date;vichle_manuf_comp;policy_tpa;policy_info_gen_key;insurance_form_id
1;false;Human Ghana;80744;2019-05-20T04:52:55;granular Direct contextually-based;synergies copying;86073;2019-05-20T00:29:50;Hat;supply-chains magenta;11986;3
2;false;Directives;32320;2019-05-20T02:33:42;Oklahoma facilitate;Engineer;96244;2019-05-20T01:53:13;Moroccan Dirham;capability zero tolerance Computers;60956;10
3;true;Small Plastic Pants Investor;23956;2019-05-19T15:28:31;Lebanon;Designer Persistent;67213;2019-05-20T05:52:17;24/7 Re-contextualized cross-platform;invoice withdrawal;53577;9
4;false;hacking installation magenta;4077;2019-05-19T11:12:41;neural-net red;Buckinghamshire Future-proofed deposit;17436;2019-05-19T09:14:23;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;87733;7
5;false;deposit;81722;2019-05-19T08:14:24;Borders content-based;Tasty Customer Human;63310;2019-05-20T03:16:59;even-keeled Saint Helena Pound;Internal AI optical;64203;9
6;false;Cheese Dynamic Home Loan Account;919;2019-05-19T22:52:38;Branding;Home Gloves Latvia;69189;2019-05-19T21:02:59;Manager Fish;Networked;32539;2
7;true;payment calculating;65761;2019-05-20T00:25:07;Benin Berkshire;dedicated Persevering;97301;2019-05-19T08:19:07;Cambridgeshire Investor;cross-platform Borders;57690;7
8;false;white sensor local;2431;2019-05-19T13:22:01;Intelligent Frozen Sausages Villages;Human;37015;2019-05-19T13:52:01;Factors;architectures;96665;6
9;true;SDD disintermediate reinvent;85113;2019-05-20T01:22:07;Bedfordshire;Maryland Configuration;69602;2019-05-19T09:29:30;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;87737;4
10;true;Belize Dollar Sudanese Pound real-time;29359;2019-05-20T00:41:45;schemas Synergistic Personal Loan Account;Avon;50151;2019-05-19T16:44:33;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;9398;5
